SRS QCM200 Data File
Data Taken on 03.05.2023 at 10:54:21
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+05.004221600E+6	+03.269000E+2	+01.400000E+0	+01.160000E+0	-02.473498E-2	+01.432130E+2	0
+05.004221800E+6	+03.269500E+2	+01.600000E+0	+01.210000E+0	-02.826855E-2	+01.442760E+2	0
+05.004221700E+6	+03.269900E+2	+01.500000E+0	+01.250000E+0	-02.650177E-2	+01.453600E+2	0
+05.004221600E+6	+03.270100E+2	+01.400000E+0	+01.270000E+0	-02.473498E-2	+01.464230E+2	0
+05.004221600E+6	+03.270100E+2	+01.400000E+0	+01.270000E+0	-02.473498E-2	+01.475040E+2	0
+05.004221700E+6	+03.270400E+2	+01.500000E+0	+01.300000E+0	-02.650177E-2	+01.485770E+2	0
+05.004221600E+6	+03.270600E+2	+01.400000E+0	+01.320000E+0	-02.473498E-2	+01.496590E+2	0
+05.004221600E+6	+03.271400E+2	+01.400000E+0	+01.400000E+0	-02.473498E-2	+01.507330E+2	0
+05.004221100E+6	+03.269700E+2	+09.000000E-1	+01.230000E+0	-01.590106E-2	+01.517990E+2	0
+05.004221300E+6	+03.268300E+2	+01.100000E+0	+01.090000E+0	-01.943463E-2	+01.528810E+2	0
+05.004221600E+6	+03.268800E+2	+01.400000E+0	+01.140000E+0	-02.473498E-2	+01.539480E+2	0
+05.004221600E+6	+03.269200E+2	+01.400000E+0	+01.180000E+0	-02.473498E-2	+01.550220E+2	0
+05.004221600E+6	+03.269400E+2	+01.400000E+0	+01.200000E+0	-02.473498E-2	+01.561020E+2	0
+05.004221600E+6	+03.269900E+2	+01.400000E+0	+01.250000E+0	-02.473498E-2	+01.571770E+2	0
+05.004221800E+6	+03.270200E+2	+01.600000E+0	+01.280000E+0	-02.826855E-2	+01.582520E+2	0
+05.004221800E+6	+03.270300E+2	+01.600000E+0	+01.290000E+0	-02.826855E-2	+01.593260E+2	0
+05.004221800E+6	+03.270400E+2	+01.600000E+0	+01.300000E+0	-02.826855E-2	+01.603970E+2	0
+05.004221800E+6	+03.270400E+2	+01.600000E+0	+01.300000E+0	-02.826855E-2	+01.614740E+2	0
+05.004221800E+6	+03.270600E+2	+01.600000E+0	+01.320000E+0	-02.826855E-2	+01.625560E+2	0
+05.004221800E+6	+03.270500E+2	+01.600000E+0	+01.310000E+0	-02.826855E-2	+01.636320E+2	0
+05.004221800E+6	+03.270400E+2	+01.600000E+0	+01.300000E+0	-02.826855E-2	+01.647030E+2	0
+05.004221800E+6	+03.270600E+2	+01.600000E+0	+01.320000E+0	-02.826855E-2	+01.657780E+2	0
+05.004221900E+6	+03.271000E+2	+01.700000E+0	+01.360000E+0	-03.003534E-2	+01.668530E+2	0
+05.004221700E+6	+03.271100E+2	+01.500000E+0	+01.370000E+0	-02.650177E-2	+01.679350E+2	0
+05.004221700E+6	+03.270900E+2	+01.500000E+0	+01.350000E+0	-02.650177E-2	+01.690090E+2	0
+05.004221800E+6	+03.271100E+2	+01.600000E+0	+01.370000E+0	-02.826855E-2	+01.700700E+2	0
+05.004221600E+6	+03.271300E+2	+01.400000E+0	+01.390000E+0	-02.473498E-2	+01.711470E+2	0
+05.004221600E+6	+03.271400E+2	+01.400000E+0	+01.400000E+0	-02.473498E-2	+01.722270E+2	0
+05.004221600E+6	+03.271200E+2	+01.400000E+0	+01.380000E+0	-02.473498E-2	+01.732910E+2	0
+05.004221600E+6	+03.270900E+2	+01.400000E+0	+01.350000E+0	-02.473498E-2	+01.743760E+2	0
+05.004221600E+6	+03.270700E+2	+01.400000E+0	+01.330000E+0	-02.473498E-2	+01.754520E+2	0
+05.004221600E+6	+03.270400E+2	+01.400000E+0	+01.300000E+0	-02.473498E-2	+01.765270E+2	0
+05.004221700E+6	+03.270100E+2	+01.500000E+0	+01.270000E+0	-02.650177E-2	+01.776040E+2	0
+05.004221600E+6	+03.270100E+2	+01.400000E+0	+01.270000E+0	-02.473498E-2	+01.786690E+2	0
+05.004221700E+6	+03.270100E+2	+01.500000E+0	+01.270000E+0	-02.650177E-2	+01.797450E+2	0
+05.004221700E+6	+03.270300E+2	+01.500000E+0	+01.290000E+0	-02.650177E-2	+01.808240E+2	0
+05.004221700E+6	+03.270400E+2	+01.500000E+0	+01.300000E+0	-02.650177E-2	+01.818890E+2	0
+05.004221700E+6	+03.270600E+2	+01.500000E+0	+01.320000E+0	-02.650177E-2	+01.829730E+2	0
+05.004221800E+6	+03.270900E+2	+01.600000E+0	+01.350000E+0	-02.826855E-2	+01.840470E+2	0
+05.004221600E+6	+03.271200E+2	+01.400000E+0	+01.380000E+0	-02.473498E-2	+01.851120E+2	0
+05.004221800E+6	+03.271400E+2	+01.600000E+0	+01.400000E+0	-02.826855E-2	+01.861980E+2	0
+05.004221700E+6	+03.271300E+2	+01.500000E+0	+01.390000E+0	-02.650177E-2	+01.872700E+2	0
+05.004221600E+6	+03.271100E+2	+01.400000E+0	+01.370000E+0	-02.473498E-2	+01.883410E+2	0
