BindingEnergy,Scan1
268.28,1148
268.86,1096
269.40999999999997,1092
269.41999999999996,1048
270.1,1061
270.74,1056
271.27,1099
271.89,1158
272.52,1084
272.5,1104
273.14,1045
273.69000000000005,1183
274.27,1187
274.95000000000005,1267
275.52,1471
275.52,1493
276.12,1596
276.69000000000005,1493
277.28,1316
277.94000000000005,1332
277.92999999999995,1264
278.49,1217
279.1,1145
279.71000000000004,1217
280.34000000000003,1191
280.92999999999995,1188
280.91999999999996,1213
281.5,1178
282.12,1126
282.75,1109
283.32000000000005,1143
283.33000000000004,1177
283.9,1088
284.54999999999995,1186
285.17999999999995,1120
285.75,1117
286.35,1199
286.33000000000004,1145
286.91999999999996,1209
287.57000000000005,1134
288.15999999999997,1106
288.71000000000004,1174
288.72,1187
289.33000000000004,1237
289.94000000000005,1105
290.59000000000003,1107
291.16999999999996,1159
291.79999999999995,1230
291.83000000000004,1168
292.44000000000005,1194
293.02,1241
293.64,1159
294.25,1148
294.25,1237
294.90999999999997,1184
295.49,1200
296.03999999999996,1224
296.67999999999995,1263
297.34000000000003,1185
297.32000000000005,1204
297.96000000000004,1219
298.51,1228
299.13,1171
299.78999999999996,1282
299.78999999999996,1181
300.35,1227
300.92999999999995,1240
301.54999999999995,1190
302.17999999999995,1184
302.77,1248
302.78,1162
303.35,1347
304.01,1264
304.66999999999996,1226
305.22,1184
305.24,1241
305.84000000000003,1206
306.45000000000005,1237
307.12,1361
307.70000000000005,1256
308.26,1354
308.26,1308
308.90999999999997,1286
309.55999999999995,1294
310.20000000000005,1319
310.78,1247
310.76,1257
311.44000000000005,1219
312.05999999999995,1202
312.64,1319
313.24,1257
313.85,1223
313.85,1191
314.5,1209
315.03999999999996,1152
315.62,1209
316.26,1261
316.23,1210
316.88,1345
317.47,1317
318.0,1214
318.64,1213
319.27,1288
319.26,1305
319.86,1208
320.42999999999995,1338
321.04999999999995,1298
321.67999999999995,1275
322.27,1334
322.24,1301
322.83000000000004,1418
323.46000000000004,1287
324.07000000000005,1249
324.67999999999995,1425
324.66999999999996,1341
325.23,1332
325.85,1499
326.48,1390
327.05999999999995,1385
327.65,1524
